age,gender,point,events
8,M,20,"[{'Freestyle': [{'distance': 50, 'time': '00:33,71'}, {'distance': 100, 'time': '01:18,10'}, {'distance': 200, 'time': '02:51,57'}, {'distance': 400, 'time': '06:11,66'}, {'distance': 800, 'time': '13:05,70'}, {'distance': 1500, 'time': '25:13,20'}], 'Breaststroke': [{'distance': 50, 'time': '00:45,30'}, {'distance': 100, 'time': '01:41,49'}, {'distance': 200, 'time': '03:43,10'}], 'Butterfly': [{'distance': 50, 'time': '00:39,65'}, {'distance': 100, 'time': '01:29,24'}, {'distance': 200, 'time': '03:33,40'}], 'Backstroke': [{'distance': 50, 'time': '00:39,78'}, {'distance': 100, 'time': '01:27,93'}, {'distance': 200, 'time': '03:14,00'}], 'Medley': [{'distance': 200, 'time': '03:22,73'}, {'distance': 400, 'time': '07:26,20'}]}]"
8,M,19,"[{'Freestyle': [{'distance': 50, 'time': '00:34,23'}, {'distance': 100, 'time': '01:19,31'}, {'distance': 200, 'time': '02:54,23'}, {'distance': 400, 'time': '06:17,40'}, {'distance': 800, 'time': '13:17,85'}, {'distance': 1500, 'time': '25:36,60'}], 'Breaststroke': [{'distance': 50, 'time': '00:46,00'}, {'distance': 100, 'time': '01:43,06'}, {'distance': 200, 'time': '03:46,55'}], 'Butterfly': [{'distance': 50, 'time': '00:40,27'}, {'distance': 100, 'time': '01:30,62'}, {'distance': 200, 'time': '03:36,70'}], 'Backstroke': [{'distance': 50, 'time': '00:40,39'}, {'distance': 100, 'time': '01:29,29'}, {'distance': 200, 'time': '03:17,00'}], 'Medley': [{'distance': 200, 'time': '03:25,86'}, {'distance': 400, 'time': '07:33,10'}]}]"
8,M,18,"[{'Freestyle': [{'distance': 50, 'time': '00:34,75'}, {'distance': 100, 'time': '01:20,52'}, {'distance': 200, 'time': '02:56,88'}, {'distance': 400, 'time': '06:23,15'}, {'distance': 800, 'time': '13:30,00'}, {'distance': 1500, 'time': '26:00,00'}], 'Breaststroke': [{'distance': 50, 'time': '00:46,70'}, {'distance': 100, 'time': '01:44,63'}, {'distance': 200, 'time': '03:50,00'}], 'Butterfly': [{'distance': 50, 'time': '00:40,88'}, {'distance': 100, 'time': '01:32,00'}, {'distance': 200, 'time': '03:40,00'}], 'Backstroke': [{'distance': 50, 'time': '00:41,01'}, {'distance': 100, 'time': '01:30,65'}, {'distance': 200, 'time': '03:20,00'}], 'Medley': [{'distance': 200, 'time': '03:29,00'}, {'distance': 400, 'time': '07:40,00'}]}]"
8,M,17,"[{'Freestyle': [{'distance': 50, 'time': '00:35,27'}, {'distance': 100, 'time': '01:21,73'}, {'distance': 200, 'time': '02:59,53'}, {'distance': 400, 'time': '06:28,90'}, {'distance': 800, 'time': '13:42,15'}, {'distance': 1500, 'time': '26:23,40'}], 'Breaststroke': [{'distance': 50, 'time': '00:47,40'}, {'distance': 100, 'time': '01:46,20'}, {'distance': 200, 'time': '03:53,45'}], 'Butterfly': [{'distance': 50, 'time': '00:41,49'}, {'distance': 100, 'time': '01:33,38'}, {'distance': 200, 'time': '03:43,30'}], 'Backstroke': [{'distance': 50, 'time': '00:41,63'}, {'distance': 100, 'time': '01:32,01'}, {'distance': 200, 'time': '03:23,00'}], 'Medley': [{'distance': 200, 'time': '03:32,13'}, {'distance': 400, 'time': '07:46,90'}]}]"
8,M,16,"[{'Freestyle': [{'distance': 50, 'time': '00:35,79'}, {'distance': 100, 'time': '01:22,94'}, {'distance': 200, 'time': '03:02,19'}, {'distance': 400, 'time': '06:34,64'}, {'distance': 800, 'time': '13:54,30'}, {'distance': 1500, 'time': '26:46,80'}], 'Breaststroke': [{'distance': 50, 'time': '00:48,10'}, {'distance': 100, 'time': '01:47,77'}, {'distance': 200, 'time': '03:56,90'}], 'Butterfly': [{'distance': 50, 'time': '00:42,11'}, {'distance': 100, 'time': '01:34,76'}, {'distance': 200, 'time': '03:46,60'}], 'Backstroke': [{'distance': 50, 'time': '00:42,24'}, {'distance': 100, 'time': '01:33,37'}, {'distance': 200, 'time': '03:26,00'}], 'Medley': [{'distance': 200, 'time': '03:35,27'}, {'distance': 400, 'time': '07:53,80'}]}]"
8,M,15,"[{'Freestyle': [{'distance': 50, 'time': '00:36,31'}, {'distance': 100, 'time': '01:24,14'}, {'distance': 200, 'time': '03:04,84'}, {'distance': 400, 'time': '06:40,39'}, {'distance': 800, 'time': '14:06,45'}, {'distance': 1500, 'time': '27:10,20'}], 'Breaststroke': [{'distance': 50, 'time': '00:48,80'}, {'distance': 100, 'time': '01:49,34'}, {'distance': 200, 'time': '04:00,35'}], 'Butterfly': [{'distance': 50, 'time': '00:42,72'}, {'distance': 100, 'time': '01:36,14'}, {'distance': 200, 'time': '03:49,90'}], 'Backstroke': [{'distance': 50, 'time': '00:42,86'}, {'distance': 100, 'time': '01:34,73'}, {'distance': 200, 'time': '03:29,00'}], 'Medley': [{'distance': 200, 'time': '03:38,40'}, {'distance': 400, 'time': '08:00,70'}]}]"
8,M,14,"[{'Freestyle': [{'distance': 50, 'time': '00:36,84'}, {'distance': 100, 'time': '01:25,35'}, {'distance': 200, 'time': '03:07,49'}, {'distance': 400, 'time': '06:46,14'}, {'distance': 800, 'time': '14:18,60'}, {'distance': 1500, 'time': '27:33,60'}], 'Breaststroke': [{'distance': 50, 'time': '00:49,50'}, {'distance': 100, 'time': '01:50,91'}, {'distance': 200, 'time': '04:03,80'}], 'Butterfly': [{'distance': 50, 'time': '00:43,33'}, {'distance': 100, 'time': '01:37,52'}, {'distance': 200, 'time': '03:53,20'}], 'Backstroke': [{'distance': 50, 'time': '00:43,47'}, {'distance': 100, 'time': '01:36,09'}, {'distance': 200, 'time': '03:32,00'}], 'Medley': [{'distance': 200, 'time': '03:41,54'}, {'distance': 400, 'time': '08:07,60'}]}]"
8,M,13,"[{'Freestyle': [{'distance': 50, 'time': '00:37,36'}, {'distance': 100, 'time': '01:26,56'}, {'distance': 200, 'time': '03:10,15'}, {'distance': 400, 'time': '06:51,89'}, {'distance': 800, 'time': '14:30,75'}, {'distance': 1500, 'time': '27:57,00'}], 'Breaststroke': [{'distance': 50, 'time': '00:50,20'}, {'distance': 100, 'time': '01:52,48'}, {'distance': 200, 'time': '04:07,25'}], 'Butterfly': [{'distance': 50, 'time': '00:43,95'}, {'distance': 100, 'time': '01:38,90'}, {'distance': 200, 'time': '03:56,50'}], 'Backstroke': [{'distance': 50, 'time': '00:44,09'}, {'distance': 100, 'time': '01:37,45'}, {'distance': 200, 'time': '03:35,00'}], 'Medley': [{'distance': 200, 'time': '03:44,68'}, {'distance': 400, 'time': '08:14,50'}]}]"
8,M,12,"[{'Freestyle': [{'distance': 50, 'time': '00:37,88'}, {'distance': 100, 'time': '01:27,77'}, {'distance': 200, 'time': '03:12,80'}, {'distance': 400, 'time': '06:57,63'}, {'distance': 800, 'time': '14:42,90'}, {'distance': 1500, 'time': '28:20,40'}], 'Breaststroke': [{'distance': 50, 'time': '00:50,90'}, {'distance': 100, 'time': '01:54,05'}, {'distance': 200, 'time': '04:10,70'}], 'Butterfly': [{'distance': 50, 'time': '00:44,56'}, {'distance': 100, 'time': '01:40,28'}, {'distance': 200, 'time': '03:59,80'}], 'Backstroke': [{'distance': 50, 'time': '00:44,70'}, {'distance': 100, 'time': '01:38,81'}, {'distance': 200, 'time': '03:38,00'}], 'Medley': [{'distance': 200, 'time': '03:47,81'}, {'distance': 400, 'time': '08:21,40'}]}]"
8,M,11,"[{'Freestyle': [{'distance': 50, 'time': '00:38,40'}, {'distance': 100, 'time': '01:28,97'}, {'distance': 200, 'time': '03:15,45'}, {'distance': 400, 'time': '07:03,38'}, {'distance': 800, 'time': '14:55,05'}, {'distance': 1500, 'time': '28:43,80'}], 'Breaststroke': [{'distance': 50, 'time': '00:51,60'}, {'distance': 100, 'time': '01:55,62'}, {'distance': 200, 'time': '04:14,15'}], 'Butterfly': [{'distance': 50, 'time': '00:45,17'}, {'distance': 100, 'time': '01:41,66'}, {'distance': 200, 'time': '04:03,10'}], 'Backstroke': [{'distance': 50, 'time': '00:45,32'}, {'distance': 100, 'time': '01:40,17'}, {'distance': 200, 'time': '03:41,00'}], 'Medley': [{'distance': 200, 'time': '03:50,95'}, {'distance': 400, 'time': '08:28,30'}]}]"
